"East North Central
(SA)","East South Central
(SA)","Middle Atlantic
(SA)","Mountain

(SA)","New England

(SA)","Pacific

(SA)","South Atlantic
(SA)","West North Central
(SA)","West South Central
(SA)","USA

(SA)",Year,Month
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1991,January
101.07,100.41,100.17,98.63,102.55,100.52,100.41,100.7,99.72,100.46,1991,February
101.0,100.6,99.74,100.54,101.44,100.13,100.6,100.14,100.55,100.5,1991,March
101.04,100.58,99.07,100.35,100.94,100.06,100.48,100.46,100.09,100.33,1991,April
101.43,100.77,99.12,100.39,99.81,100.11,100.57,100.24,100.35,100.41,1991,May
101.56,101.56,98.82,101.46,98.68,99.88,100.67,100.59,100.96,100.54,1991,June
101.94,101.57,99.06,101.27,98.76,99.85,100.47,100.46,100.83,100.56,1991,July
102.13,100.76,98.6,101.3,98.01,99.95,100.03,100.78,100.57,100.38,1991,August
102.06,101.18,99.25,101.55,99.15,99.63,100.11,100.9,101.46,100.64,1991,September
102.41,101.65,98.97,102.52,98.75,100.34,100.95,101.54,100.67,100.95,1991,October
103.37,102.37,100.05,103.82,97.45,100.6,101.33,101.59,101.35,101.49,1991,November
103.45,103.29,100.31,103.42,98.72,100.66,101.58,102.67,101.86,101.85,1991,December
103.95,103.35,100.7,104.41,99.85,100.97,101.91,102.48,102.4,102.26,1992,January
104.48,104.26,101.94,105.3,100.48,101.39,102.69,103.11,103.28,103.01,1992,February
105.21,103.99,101.18,106.01,99.44,100.79,102.33,103.68,102.51,102.82,1992,March
105.28,103.55,100.8,105.67,98.4,100.28,101.81,103.69,102.78,102.55,1992,April
105.64,104.02,100.36,106.29,97.6,100.25,102.05,103.95,102.62,102.63,1992,May
105.69,104.25,100.3,106.9,96.52,99.73,101.85,104.37,103.01,102.6,1992,June
106.04,104.92,100.26,107.18,96.77,100.01,102.27,104.82,103.28,102.91,1992,July
106.5,105.47,100.28,108.02,97.74,100.17,103.07,105.0,104.03,103.4,1992,August
106.79,106.01,101.2,108.41,97.65,100.26,103.59,105.56,104.19,103.79,1992,September
107.51,106.65,101.37,109.4,98.05,99.57,103.73,105.77,104.92,104.09,1992,October
107.91,106.4,102.12,110.07,98.55,99.64,103.53,106.15,105.62,104.39,1992,November
108.53,106.85,101.26,111.23,97.45,99.24,103.3,106.43,105.1,104.29,1992,December
108.62,107.1,100.91,112.0,96.69,98.73,103.37,107.48,105.38,104.34,1993,January
108.43,106.6,100.75,112.23,95.37,98.06,103.22,107.94,105.53,104.12,1993,February
108.98,108.07,100.64,112.53,95.45,98.32,103.76,106.97,106.16,104.46,1993,March
109.56,108.4,101.39,113.91,96.52,98.3,104.55,108.42,106.59,105.12,1993,April
109.91,108.87,101.69,114.79,96.16,97.91,104.51,109.07,107.06,105.32,1993,May
110.61,108.99,101.49,115.48,96.94,97.94,105.09,109.59,107.6,105.72,1993,June
111.09,109.45,101.04,116.78,96.64,96.86,105.0,109.97,108.25,105.76,1993,July
111.52,110.0,101.26,117.67,96.46,97.18,105.21,110.78,108.39,106.11,1993,August
112.3,111.1,101.36,119.29,96.07,96.89,105.63,111.4,108.81,106.52,1993,September
112.54,111.06,101.54,119.96,95.45,97.27,105.67,112.16,109.67,106.81,1993,October
112.96,111.75,101.74,120.89,96.46,96.72,105.85,112.57,109.96,107.07,1993,November
113.56,112.2,101.67,121.62,96.92,96.79,106.73,113.4,110.75,107.59,1993,December
114.28,113.0,102.3,122.41,96.03,96.73,106.62,113.96,110.66,107.84,1994,January
114.51,113.96,101.57,123.98,97.03,96.57,106.93,113.94,111.15,108.08,1994,February
114.95,113.69,101.58,124.95,97.97,96.52,107.2,114.94,112.2,108.49,1994,March
115.69,114.94,101.5,125.91,96.76,96.76,107.79,115.24,111.93,108.81,1994,April
116.21,115.15,101.93,127.34,97.16,96.42,107.97,115.69,112.7,109.16,1994,May
116.54,115.5,101.67,128.18,97.84,96.48,108.27,116.09,112.69,109.38,1994,June
116.68,115.86,101.9,128.52,97.31,96.28,108.54,116.52,112.66,109.5,1994,July
117.18,116.43,101.7,129.4,96.81,96.15,108.92,116.92,113.04,109.74,1994,August
117.62,116.26,101.33,129.74,97.0,96.51,109.1,116.74,113.12,109.87,1994,September
118.16,117.15,101.55,130.68,96.75,96.05,109.24,117.19,113.49,110.11,1994,October
118.7,117.86,101.09,130.99,96.75,95.85,109.81,118.12,113.61,110.36,1994,November
118.71,117.67,100.22,131.9,97.07,95.91,109.95,117.65,113.94,110.34,1994,December
119.6,117.79,100.69,132.03,96.59,96.23,110.36,118.36,114.29,110.76,1995,January
120.24,118.97,100.98,133.46,97.09,96.58,110.75,119.06,114.29,111.26,1995,February
120.34,119.43,101.08,133.31,97.37,95.72,110.51,119.31,114.28,111.17,1995,March
121.06,119.03,101.38,133.88,97.2,94.97,110.46,119.9,115.21,111.34,1995,April
120.98,119.46,101.0,133.94,97.73,95.53,110.6,120.26,115.2,111.49,1995,May
121.81,120.95,101.34,135.41,97.43,95.35,110.89,120.94,115.12,111.89,1995,June
122.4,121.46,101.13,135.99,98.25,95.49,111.91,121.43,115.99,112.42,1995,July
123.12,121.23,101.89,136.58,98.16,95.6,111.88,121.93,116.11,112.71,1995,August
123.54,121.72,101.31,137.29,97.72,95.39,112.27,122.64,116.84,112.92,1995,September
123.99,122.81,100.92,137.07,97.86,95.35,112.19,123.22,116.61,113.01,1995,October
124.24,123.05,101.01,137.65,97.78,95.42,112.61,123.11,117.04,113.23,1995,November
125.02,123.45,101.35,138.58,98.05,95.25,112.76,123.98,117.96,113.66,1995,December
125.4,123.96,101.4,138.94,100.26,95.76,113.57,124.19,117.74,114.13,1996,January
126.19,123.54,101.87,139.36,99.69,95.66,113.29,124.75,118.24,114.32,1996,February
126.62,124.26,102.17,140.22,99.14,95.66,114.12,125.21,118.47,114.7,1996,March
127.67,124.96,101.86,140.94,99.42,95.52,114.3,126.14,118.52,115.01,1996,April
127.9,125.76,102.18,140.92,100.14,95.54,114.64,126.19,118.8,115.29,1996,May
128.04,125.71,102.0,141.44,100.3,95.68,114.52,126.44,119.41,115.41,1996,June
128.75,126.99,102.07,142.15,100.18,95.85,115.22,127.11,119.24,115.83,1996,July
128.66,126.76,102.11,141.65,100.46,95.69,115.23,127.19,119.45,115.8,1996,August
129.13,127.18,102.01,142.53,100.8,95.77,115.62,127.73,119.79,116.12,1996,September
129.09,128.0,101.81,142.76,100.6,96.11,115.69,127.96,119.63,116.21,1996,October
130.36,127.65,102.43,143.02,100.4,96.28,115.48,128.26,119.94,116.53,1996,November
130.58,128.31,101.95,142.93,101.09,96.36,116.05,129.12,120.59,116.84,1996,December
130.63,128.5,102.32,143.92,101.63,96.15,116.55,129.16,120.43,117.03,1997,January
130.81,129.73,102.49,144.34,100.97,96.28,116.91,129.35,120.84,117.29,1997,February
131.68,129.5,102.5,145.03,101.51,96.73,117.67,130.2,121.26,117.81,1997,March
131.55,130.14,102.96,145.33,102.8,97.42,117.31,130.09,121.39,118.04,1997,April
132.4,129.7,103.71,145.65,102.51,97.8,117.54,131.08,122.0,118.5,1997,May
132.63,130.21,102.86,145.8,102.76,97.84,118.02,130.55,122.05,118.54,1997,June
132.88,130.84,103.11,146.17,102.94,98.74,117.73,131.57,122.21,118.88,1997,July
133.39,131.05,103.47,146.55,103.66,99.05,118.52,131.62,122.17,119.27,1997,August
133.57,130.85,103.17,146.67,103.41,99.35,118.53,132.36,122.7,119.41,1997,September
134.07,130.9,104.64,147.32,104.73,99.64,119.1,133.0,123.26,120.07,1997,October
134.42,131.65,103.54,147.35,105.06,100.87,119.68,133.0,123.95,120.44,1997,November
134.73,132.23,104.29,148.18,105.73,100.83,120.2,133.3,124.15,120.84,1997,December
135.27,132.81,104.05,147.98,104.71,101.53,120.13,135.37,125.24,121.25,1998,January
136.07,132.82,104.88,149.38,107.71,102.75,121.04,135.44,125.55,122.15,1998,February
136.36,133.74,105.88,149.52,107.5,103.29,121.29,135.51,126.0,122.57,1998,March
136.79,134.22,106.12,150.87,108.28,104.54,121.81,135.69,126.16,123.15,1998,April
137.17,134.99,106.26,150.94,108.94,105.19,122.18,136.43,126.83,123.63,1998,May
137.92,135.5,107.12,151.34,109.76,106.08,122.83,137.86,127.59,124.43,1998,June
138.19,135.55,107.03,151.92,110.31,106.47,123.05,137.9,128.39,124.72,1998,July
138.76,135.61,107.7,152.79,111.19,107.25,123.37,138.53,128.83,125.29,1998,August
139.57,137.01,108.4,153.2,112.16,107.83,124.33,139.53,129.42,126.09,1998,September
140.32,137.03,108.49,154.14,112.06,108.83,124.56,140.39,129.9,126.6,1998,October
141.15,138.1,109.07,154.32,114.26,109.51,125.27,142.23,130.33,127.44,1998,November
141.55,138.35,109.91,155.24,114.67,109.57,125.65,142.92,131.7,127.99,1998,December
142.13,138.78,110.52,155.59,115.12,111.21,126.43,143.72,131.95,128.74,1999,January
142.88,139.56,110.87,156.46,116.41,111.65,127.02,143.57,132.24,129.28,1999,February
143.29,140.22,110.77,158.0,116.98,112.58,127.49,144.42,132.62,129.83,1999,March
143.8,140.16,111.65,157.91,117.92,113.33,128.11,145.35,133.57,130.49,1999,April
144.71,140.79,112.47,158.75,119.16,114.03,128.98,145.87,134.02,131.27,1999,May
145.15,140.92,113.58,159.38,119.9,114.78,129.17,146.83,134.63,131.86,1999,June
145.89,141.49,114.39,160.35,121.09,115.31,129.88,147.21,135.51,132.59,1999,July
146.86,142.01,114.9,161.15,122.25,116.27,130.66,148.67,136.08,133.43,1999,August
147.04,142.5,115.09,162.5,123.41,117.05,130.81,148.25,136.25,133.79,1999,September
147.82,142.28,116.44,162.34,123.89,118.16,131.98,148.88,137.21,134.66,1999,October
148.08,143.32,116.69,163.37,124.6,118.77,132.34,149.72,137.78,135.19,1999,November
148.86,143.85,117.0,163.98,126.39,119.56,132.67,150.45,138.42,135.83,1999,December
150.48,144.36,118.85,165.07,127.99,122.51,133.79,151.57,139.65,137.42,2000,January
149.71,144.7,118.42,165.48,127.91,121.47,134.19,152.74,139.5,137.26,2000,February
151.06,144.58,119.62,166.34,129.86,123.09,134.77,153.15,140.74,138.32,2000,March
151.77,145.74,120.61,166.87,131.19,123.86,135.89,154.52,141.43,139.26,2000,April
152.17,145.74,121.02,167.46,132.91,125.02,136.52,154.98,141.9,139.89,2000,May
153.24,146.06,121.95,168.91,134.66,126.0,137.42,155.48,142.61,140.82,2000,June
153.96,146.74,122.69,169.37,135.47,127.05,138.13,156.37,143.24,141.58,2000,July
154.33,146.27,123.28,169.8,136.35,128.29,138.48,157.05,143.67,142.12,2000,August
154.82,146.51,124.74,170.23,138.07,129.54,139.46,157.88,144.35,143.03,2000,September
155.19,146.81,125.29,171.37,139.77,131.03,140.04,158.82,144.89,143.81,2000,October
155.76,147.52,126.47,172.68,140.24,132.62,140.67,158.93,145.78,144.68,2000,November
156.71,146.95,127.37,173.26,142.22,133.76,142.04,159.7,145.67,145.52,2000,December
157.28,147.81,127.95,175.12,143.73,135.05,142.88,161.27,146.41,146.49,2001,January
157.98,148.67,129.27,176.18,145.62,136.58,143.25,161.69,147.73,147.47,2001,February
158.5,148.71,130.11,176.53,146.78,137.76,144.85,162.48,147.66,148.28,2001,March
159.25,149.1,130.77,176.85,147.96,138.7,145.56,164.26,148.59,149.11,2001,April
159.8,149.93,131.8,178.26,150.08,139.55,146.05,164.58,148.5,149.81,2001,May
160.32,149.76,133.11,178.88,151.0,140.18,146.82,165.25,149.16,150.5,2001,June
160.82,150.0,134.03,178.99,152.58,141.16,148.11,166.29,150.02,151.38,2001,July
161.34,150.44,135.53,179.75,154.75,142.14,148.89,166.55,149.62,152.1,2001,August
162.05,151.0,136.44,179.56,155.31,143.55,149.27,167.59,150.73,152.88,2001,September
163.08,152.02,137.3,180.54,156.49,144.25,150.54,168.7,151.12,153.82,2001,October
163.19,151.79,138.77,181.83,157.45,144.96,150.93,168.55,151.06,154.29,2001,November
163.8,152.08,139.18,182.41,159.71,146.66,152.22,170.04,151.72,155.29,2001,December
164.64,152.86,140.54,183.14,161.21,148.15,153.13,170.54,151.66,156.19,2002,January
165.06,152.23,141.67,184.31,163.26,149.41,154.55,170.84,152.54,157.1,2002,February
165.83,153.86,143.25,184.66,163.42,151.11,155.0,171.99,153.47,158.11,2002,March
166.14,153.44,144.62,185.47,166.37,152.58,156.08,172.76,153.51,158.97,2002,April
166.7,153.9,146.33,186.0,167.85,154.81,157.15,173.44,154.11,160.05,2002,May
167.53,154.16,147.21,186.34,170.29,156.78,158.06,174.48,154.46,161.03,2002,June
167.95,154.47,148.83,187.33,173.09,158.92,159.05,174.93,154.72,162.07,2002,July
168.51,155.82,150.44,189.0,174.02,160.66,159.8,175.97,154.96,163.09,2002,August
169.32,155.51,151.65,189.07,175.59,162.0,161.6,176.76,155.72,164.12,2002,September
169.69,156.68,153.18,190.83,177.43,164.35,162.47,177.51,156.24,165.26,2002,October
170.99,157.12,154.03,191.36,179.39,165.5,163.49,178.3,156.67,166.2,2002,November
