Period,"Financial obligations ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted",Year,Quarter
1990Q1,16.900919,5.635607,11.649150,6.013543,1990,Q1
1990Q2,16.875752,5.540660,11.600660,6.060000,1990,Q2
1990Q3,16.888249,5.481259,11.583131,6.101873,1990,Q3
1990Q4,16.960268,5.419602,11.604449,6.184847,1990,Q4
1991Q1,16.960137,5.355239,11.578032,6.222793,1991,Q1
1991Q2,16.818953,5.238545,11.434237,6.195692,1991,Q2
1991Q3,16.703078,5.137354,11.318681,6.181328,1991,Q3
1991Q4,16.479746,5.017251,11.117333,6.100082,1991,Q4
1992Q1,16.160733,4.867179,10.855581,5.988402,1992,Q1
1992Q2,15.971127,4.774439,10.680886,5.906447,1992,Q2
1992Q3,15.826784,4.702399,10.540050,5.837651,1992,Q3
1992Q4,15.752581,4.660212,10.455215,5.795003,1992,Q4
1993Q1,15.673178,4.652557,10.419139,5.766582,1993,Q1
1993Q2,15.593555,4.648903,10.354430,5.705527,1993,Q2
1993Q3,15.669738,4.705303,10.405427,5.700123,1993,Q3
1993Q4,15.641764,4.755414,10.368518,5.613104,1993,Q4
1994Q1,15.690103,4.831917,10.388445,5.556527,1994,Q1
1994Q2,15.761009,4.924236,10.452491,5.528256,1994,Q2
1994Q3,15.914829,5.035871,10.586958,5.551088,1994,Q3
1994Q4,15.995620,5.120072,10.699630,5.579557,1994,Q4
1995Q1,16.198637,5.248012,10.888513,5.640501,1995,Q1
1995Q2,16.411955,5.394652,11.080721,5.686069,1995,Q2
1995Q3,16.529220,5.523088,11.185719,5.662631,1995,Q3
1995Q4,16.572483,5.594352,11.223493,5.629141,1995,Q4
1996Q1,16.558361,5.653204,11.242343,5.589139,1996,Q1
1996Q2,16.557834,5.675422,11.269972,5.594550,1996,Q2
1996Q3,16.606741,5.712678,11.315366,5.602688,1996,Q3
1996Q4,16.664822,5.777011,11.371211,5.594200,1996,Q4
