Market Absorption Rate (%),Year,Month
45.0,1990,January
50.0,1990,February
58.0,1990,March
52.0,1990,April
50.0,1990,May
50.0,1990,June
46.0,1990,July
46.0,1990,August
38.0,1990,September
37.0,1990,October
34.0,1990,November
29.0,1990,December
30.0,1991,January
40.0,1991,February
51.0,1991,March
50.0,1991,April
47.0,1991,May
47.0,1991,June
43.0,1991,July
46.0,1991,August
37.0,1991,September
41.0,1991,October
39.0,1991,November
36.0,1991,December
48.0,1992,January
55.0,1992,February
56.0,1992,March
53.0,1992,April
52.0,1992,May
53.0,1992,June
52.0,1992,July
56.0,1992,August
51.0,1992,September
48.0,1992,October
42.0,1992,November
42.0,1992,December
44.0,1993,January
50.0,1993,February
60.0,1993,March
66.0,1993,April
58.0,1993,May
59.0,1993,June
55.0,1993,July
57.0,1993,August
57.0,1993,September
56.0,1993,October
53.0,1993,November
51.0,1993,December
46.0,1994,January
58.0,1994,February
74.0,1994,March
65.0,1994,April
65.0,1994,May
55.0,1994,June
52.0,1994,July
59.0,1994,August
54.0,1994,September
57.0,1994,October
45.0,1994,November
40.0,1994,December
47.0,1995,January
47.0,1995,February
60.0,1995,March
58.0,1995,April
63.0,1995,May
64.0,1995,June
64.0,1995,July
63.0,1995,August
54.0,1995,September
54.0,1995,October
46.0,1995,November
45.0,1995,December
54.0,1996,January
68.0,1996,February
70.0,1996,March
70.0,1996,April
69.0,1996,May
65.0,1996,June
66.0,1996,July
73.0,1996,August
62.0,1996,September
56.0,1996,October
54.0,1996,November
51.0,1996,December
61.0,1997,January
69.0,1997,February
81.0,1997,March
70.0,1997,April
71.0,1997,May
71.0,1997,June
69.0,1997,July
72.0,1997,August
67.0,1997,September
62.0,1997,October
61.0,1997,November
51.0,1997,December
64.0,1998,January
75.0,1998,February
81.0,1998,March
82.0,1998,April
82.0,1998,May
83.0,1998,June
75.0,1998,July
75.0,1998,August
68.0,1998,September
69.0,1998,October
70.0,1998,November
61.0,1998,December
67.0,1999,January
76.0,1999,February
84.0,1999,March
86.0,1999,April
80.0,1999,May
82.0,1999,June
78.0,1999,July
78.0,1999,August
65.0,1999,September
67.0,1999,October
61.0,1999,November
57.0,1999,December
67.0,2000,January
78.0,2000,February
88.0,2000,March
78.0,2000,April
77.0,2000,May
71.0,2000,June
76.0,2000,July
73.0,2000,August
70.0,2000,September
71.0,2000,October
63.0,2000,November
65.0,2000,December
72.0,2001,January
85.0,2001,February
94.0,2001,March
84.0,2001,April
80.0,2001,May
79.0,2001,June
76.0,2001,July
74.0,2001,August
66.0,2001,September
66.0,2001,October
67.0,2001,November
66.0,2001,December
66.0,2002,January
84.0,2002,February
90.0,2002,March
86.0,2002,April
88.0,2002,May
84.0,2002,June
82.0,2002,July
90.0,2002,August
82.0,2002,September
77.0,2002,October
73.0,2002,November
70.0,2002,December
76.0,2003,January
82.0,2003,February
98.0,2003,March
91.0,2003,April
101.0,2003,May
107.0,2003,June
99.0,2003,July
105.0,2003,August
90.0,2003,September
88.0,2003,October
76.0,2003,November
75.0,2003,December
89.0,2004,January
102.0,2004,February
123.0,2004,March
109.0,2004,April
115.0,2004,May
105.0,2004,June
96.0,2004,July
102.0,2004,August
94.0,2004,September
101.0,2004,October
84.0,2004,November
83.0,2004,December
92.0,2005,January
109.0,2005,February
127.0,2005,March
116.0,2005,April
120.0,2005,May
115.0,2005,June
117.0,2005,July
110.0,2005,August
99.0,2005,September
105.0,2005,October
86.0,2005,November
87.0,2005,December
89.0,2006,January
88.0,2006,February
108.0,2006,March
100.0,2006,April
102.0,2006,May
98.0,2006,June
83.0,2006,July
88.0,2006,August
80.0,2006,September
74.0,2006,October
71.0,2006,November
71.0,2006,December
66.0,2007,January
68.0,2007,February
80.0,2007,March
83.0,2007,April
79.0,2007,May
73.0,2007,June
68.0,2007,July
60.0,2007,August
53.0,2007,September
57.0,2007,October
45.0,2007,November
44.0,2007,December
44.0,2008,January
48.0,2008,February
49.0,2008,March
49.0,2008,April
49.0,2008,May
45.0,2008,June
43.0,2008,July
38.0,2008,August
35.0,2008,September
32.0,2008,October
27.0,2008,November
26.0,2008,December
24.0,2009,January
29.0,2009,February
31.0,2009,March
32.0,2009,April
34.0,2009,May
37.0,2009,June
38.0,2009,July
36.0,2009,August
30.0,2009,September
33.0,2009,October
26.0,2009,November
24.0,2009,December
24.0,2010,January
27.0,2010,February
36.0,2010,March
41.0,2010,April
26.0,2010,May
28.0,2010,June
26.0,2010,July
23.0,2010,August
25.0,2010,September
23.0,2010,October
20.0,2010,November
23.0,2010,December
21.0,2011,January
22.0,2011,February
28.0,2011,March
30.0,2011,April
28.0,2011,May
28.0,2011,June
27.0,2011,July
25.0,2011,August
24.0,2011,September
25.0,2011,October
23.0,2011,November
24.0,2011,December
23.0,2012,January
30.0,2012,February
34.0,2012,March
34.0,2012,April
35.0,2012,May
34.0,2012,June
33.0,2012,July
31.0,2012,August
30.0,2012,September
