period,CS_Index,West North Central,New England,East North Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA,Housing Affordability Index,Market Absorption Rate (%),Unemployment Rate,"Financial obligations ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted"
2000-January,100.5896967,151.57,127.99,150.48,118.85,165.07,127.99,122.51,133.79,151.57,139.65,137.42,126,67,4,16.532775,5.937883,11.503203,5.56532
2000-February,101.6924793,152.74,127.91,149.71,118.42,165.48,127.91,121.47,134.19,152.74,139.5,137.26,126.6,78,4.1,16.57486533,5.973132667,11.555449,5.582316667
2000-March,102.7838288,153.15,129.86,151.06,119.62,166.34,129.86,123.09,134.77,153.15,140.74,138.32,125.1,88,4,16.61695567,6.008382333,11.607695,5.599313333
2000-April,103.9964443,154.52,131.19,151.77,120.61,166.87,131.19,123.86,135.89,154.52,141.43,139.26,124.1,78,3.8,16.659046,6.043632,11.659941,5.61631
2000-May,105.2528184,154.98,132.91,152.17,121.02,167.46,132.91,125.02,136.52,154.98,141.9,139.89,121,77,4,16.708283,6.088313333,11.71883567,5.630523333
2000-June,106.4025238,155.48,134.66,153.24,121.95,168.91,134.66,126,137.42,155.48,142.61,140.82,118.4,71,4,16.75752,6.132994667,11.77773033,5.644736667
2000-July,107.1340195,156.37,135.47,153.96,122.69,169.37,135.47,127.05,138.13,156.37,143.24,141.58,117,76,4,16.806757,6.177676,11.836625,5.65895
2000-August,107.8614382,157.05,136.35,154.33,123.28,169.8,136.35,128.29,138.48,157.05,143.67,142.12,119.3,73,4.1,16.89021667,6.232203,11.91219833,5.679996
2000-September,108.6101402,157.88,138.07,154.82,124.74,170.23,138.07,129.54,139.46,157.88,144.35,143.03,120.3,70,3.9,16.97367633,6.28673,11.98777167,5.701042
2000-October,109.4868589,158.82,139.77,155.19,125.29,171.37,139.77,131.03,140.04,158.82,144.89,143.81,124.6,71,3.9,17.057136,6.341257,12.063345,5.722088
2000-November,110.5717075,158.93,140.24,155.76,126.47,172.68,140.24,132.62,140.67,158.93,145.78,144.68,125,63,3.9,17.08689467,6.376528667,12.09589333,5.719364667
2000-December,111.8008719,159.7,142.22,156.71,127.37,173.26,142.22,133.76,142.04,159.7,145.67,145.52,126.4,65,3.9,17.11665333,6.411800333,12.12844167,5.716641333
2001-January,113.0534977,161.27,143.73,157.28,127.95,175.12,143.73,135.05,142.88,161.27,146.41,146.49,134.7,72,4.2,17.146412,6.447072,12.16099,5.713918
2001-February,114.1268579,161.69,145.62,157.98,129.27,176.18,145.62,136.58,143.25,161.69,147.73,147.47,135.2,85,4.2,17.237456,6.496076,12.23528433,5.739208333
2001-March,115.0851958,162.48,146.78,158.5,130.11,176.53,146.78,137.76,144.85,162.48,147.66,148.28,131.6,94,4.3,17.3285,6.54508,12.30957867,5.764498667
2001-April,115.8405509,164.26,147.96,159.25,130.77,176.85,147.96,138.7,145.56,164.26,148.59,149.11,132.3,84,4.4,17.419544,6.594084,12.383873,5.789789
2001-May,116.3007429,164.58,150.08,159.8,131.8,178.26,150.08,139.55,146.05,164.58,148.5,149.81,128.6,80,4.3,17.379143,6.582852,12.363738,5.780886
