1M,4M,7M,13M,period
101.11201352531116,103.73224792593685,106.80017978802306,114.53974394083238,2000-January
102.77039638504746,107.0120346908104,111.68117204023493,122.15010231682831,2000-February
104.3480235413692,109.94347634513375,116.01450465652948,128.8952990232591,2000-March
104.97720651927716,108.83981520487231,113.09149598671878,122.71323166077983,2000-April
106.05415057513295,109.39217565114504,113.0553851655984,121.54641430785816,2000-May
106.78797025628981,108.8853089709072,111.24385441528801,117.37137367537301,2000-June
107.74358636765704,110.43128031381622,113.40590818579176,120.58256198669571,2000-July
108.37154461015483,110.66755182133484,113.22890389819855,119.67302767947226,2000-August
108.99434379878299,110.80930994879684,112.8861610124846,118.47433224479383,2000-September
110.05211247429203,112.26027894936948,114.7455667291338,121.06242800820948,2000-October
110.70735724689767,111.63810706398316,112.78173306196486,116.70074533739796,2000-November
112.06814167714234,113.34704794567888,114.82571633481865,119.29022090817767,2000-December
113.94023832798439,116.90799572777047,120.12612313333759,127.67273864496553,2001-January
115.72096590545367,120.63299440805562,125.86591877746872,136.92061462597377,2001-February
117.04211812254147,122.94450472289137,129.19549107826617,141.96997323643967,2001-March
117.28240304405494,121.58120460522662,126.17559018203153,136.02676165307517,2001-April
117.42065740768484,120.8290428315259,124.50720795268037,132.70500680917672,2001-May
117.79029168475067,120.60303154346673,123.65908045878493,130.69016169412043,2001-June
118.25106229220887,120.66738608769879,123.32556703550895,129.65051953057224,2001-July
118.92920767416769,120.98797625202837,123.27846743266758,128.9460339277462,2001-August
119.43504302726312,120.50204420848965,121.77065557240215,125.6658001602554,2001-September
120.26896404734913,121.61323496002288,123.19647912368146,127.68489934528861,2001-October
120.90028314083284,122.48320021996292,124.298426629966,129.16627268729934,2001-November
121.03056813986802,121.95595084062577,123.11391732459623,126.76295573179664,2001-December
121.7811349541303,122.9394695427099,124.34525295163397,128.42723094186928,2002-January
123.61108730117718,127.6719547997113,132.09072808522924,141.4476148118831,2002-February
124.99991312546041,129.8523822953752,135.07526529498472,145.77938321488043,2002-March
125.88898003602532,129.94138208342258,134.30162327923543,143.41028130573548,2002-April
127.37035821008436,131.59966555592578,136.11380215698657,145.41765881770738,2002-May
128.43962922137482,131.5642334385129,134.88828274609395,141.97798460681196,2002-June
129.89384277470555,132.87294991680474,136.011227288999,142.72735291779958,2002-July
131.87086128448095,136.41661641542495,141.1489861019478,150.6353973376771,2002-August
132.7268911868369,136.20261290607127,139.8048133485268,147.27199608230887,2002-September
133.81322426446602,136.60294902995003,139.47310151445703,145.60804989847313,2002-October
134.8166014228182,136.90042632252906,139.0094250546274,143.74067918082497,2002-November
135.90002096722793,137.33740012312637,138.76010595115798,142.2142662959912,2002-December
137.47221719216526,140.31924947474374,143.20139824820816,149.2356109699747,2003-January
138.82205318675855,142.71891586950343,146.69118166614547,154.61923827016224,2003-February
140.57456665801743,146.9115729465714,153.3860300521277,165.65489347918881,2003-March
141.0588955915577,146.2840819453219,151.60931487626917,161.8279403034686,2003-April
142.45777352890673,149.19853448287546,156.08960581424867,169.0145932426941,2003-May
143.45838702298843,150.94127868945156,158.59382876484835,172.7980650453317,2003-June
144.2185669211043,150.47591698916546,156.85126191544583,168.76481693309972,2003-July
145.86308186692574,152.7177249888123,159.6933164452603,172.57117347524272,2003-August
146.70334407356725,151.0129840882507,155.3193339018442,163.4174803171449,2003-September
148.3611842204004,152.42922271096134,156.43502136570018,163.9333109860756,2003-October
149.5608272474741,151.79331648295215,153.85242430476328,157.85258834103482,2003-November
151.32739990495878,153.0977059696886,154.63739937617675,157.6076532577862,2003-December
154.12913051359843,158.5630894394472,162.821819815469,170.53886539023733,2004-January
156.64778797301273,162.89816470360614,168.99036434978717,179.81245196799946,2004-February
160.19102659930388,169.84761330720568,179.39210809794687,196.16946172194503,2004-March
161.7958578671004,169.0955929860431,176.11743665592428,188.3184369142372,2004-April
164.1829524988921,171.5104858585925,178.50455896105396,190.4537470979212,2004-May
165.91367485790747,170.8854992457512,175.3734815804798,182.7204377558015,2004-June
167.5445138652701,171.14388920702513,174.16711437160228,178.8597026255008,2004-July
169.64759588069964,174.419166572617,178.62870874630266,185.35887137054155,2004-August
170.85788935945206,174.50849191527706,177.54003802461395,182.1529485197779,2004-September
172.8952359605653,177.6634206329388,181.83255713421406,188.37997518886507,2004-October
173.7245106395589,175.544329757077,176.6465456221789,177.725064187637,2004-November
175.60628378474271,176.93498415404164,177.50444924427916,177.54746453316218,2004-December
178.62125830022688,181.39929552728023,183.4064469056867,185.8796077982901,2005-January
182.19932862609275,187.54413770651985,192.11647554910124,198.94626498204005,2005-February
185.92984754379637,193.61001882140877,200.53427697137175,211.31119451703154,2005-March
187.39116006875594,192.6350203014697,196.97048362101603,203.01031135970183,2005-April
189.61989286349683,195.37827502359252,200.21159439733924,207.02988971134235,2005-May
191.1760103462555,195.68746574831155,199.20015196491764,203.56894905751213,2005-June
193.15558746128923,197.95704374769338,201.7715216750314,206.61074567608574,2005-July
194.67646174678285,198.1436962736783,200.53052436247575,202.7435775785623,2005-August
196.3841234264673,198.23643947997115,198.9180765164074,198.05483731381963,2005-September
