Year,Month,Value
2000,January,4.0
2000,February,4.1
2000,March,4.0
2000,April,3.8
2000,May,4.0
2000,June,4.0
2000,July,4.0
2000,August,4.1
2000,September,3.9
2000,October,3.9
2000,November,3.9
2000,December,3.9
2001,January,4.2
2001,February,4.2
2001,March,4.3
2001,April,4.4
2001,May,4.3
2001,June,4.5
2001,July,4.6
2001,August,4.9
2001,September,5.0
2001,October,5.3
2001,November,5.5
2001,December,5.7
2002,January,5.7
2002,February,5.7
2002,March,5.7
2002,April,5.9
2002,May,5.8
2002,June,5.8
2002,July,5.8
2002,August,5.7
2002,September,5.7
2002,October,5.7
2002,November,5.9
2002,December,6.0
2003,January,5.8
2003,February,5.9
2003,March,5.9
2003,April,6.0
2003,May,6.1
2003,June,6.3
2003,July,6.2
2003,August,6.1
2003,September,6.1
2003,October,6.0
2003,November,5.8
2003,December,5.7
2004,January,5.7
2004,February,5.6
2004,March,5.8
2004,April,5.6
2004,May,5.6
2004,June,5.6
2004,July,5.5
2004,August,5.4
2004,September,5.4
2004,October,5.5
2004,November,5.4
2004,December,5.4
2005,January,5.3
2005,February,5.4
2005,March,5.2
2005,April,5.2
2005,May,5.1
2005,June,5.0
2005,July,5.0
2005,August,4.9
2005,September,5.0
2005,October,5.0
2005,November,5.0
2005,December,4.9
2006,January,4.7
2006,February,4.8
2006,March,4.7
2006,April,4.7
2006,May,4.6
2006,June,4.6
2006,July,4.7
2006,August,4.7
2006,September,4.5
2006,October,4.4
2006,November,4.5
2006,December,4.4
2007,January,4.6
2007,February,4.5
2007,March,4.4
2007,April,4.5
2007,May,4.4
2007,June,4.6
2007,July,4.7
2007,August,4.6
2007,September,4.7
2007,October,4.7
2007,November,4.7
2007,December,5.0
2008,January,5.0
2008,February,4.9
2008,March,5.1
2008,April,5.0
2008,May,5.4
2008,June,5.6
2008,July,5.8
2008,August,6.1
2008,September,6.1
2008,October,6.5
2008,November,6.8
2008,December,7.3
2009,January,7.8
2009,February,8.3
2009,March,8.7
2009,April,9.0
2009,May,9.4
2009,June,9.5
2009,July,9.5
2009,August,9.6
2009,September,9.8
2009,October,10.0
2009,November,9.9
2009,December,9.9
2010,January,9.8
2010,February,9.8
2010,March,9.9
2010,April,9.9
2010,May,9.6
2010,June,9.4
2010,July,9.4
2010,August,9.5
2010,September,9.5
2010,October,9.4
2010,November,9.8
2010,December,9.3
2011,January,9.1
2011,February,9.0
2011,March,9.0
2011,April,9.1
2011,May,9.0
2011,June,9.1
2011,July,9.0
2011,August,9.0
2011,September,9.0
2011,October,8.8
2011,November,8.6
2011,December,8.5
2012,January,8.3
2012,February,8.3
2012,March,8.2
2012,April,8.2
2012,May,8.2
2012,June,8.2
2012,July,8.2
2012,August,8.1
2012,September,7.8
2012,October,7.8
2012,November,7.7
2012,December,7.9
2013,January,8.0
2013,February,7.7
2013,March,7.5
2013,April,7.6
2013,May,7.5
2013,June,7.5
2013,July,7.3
2013,August,7.2
2013,September,7.2
2013,October,7.2
2013,November,6.9
2013,December,6.7
2014,January,6.6
2014,February,6.7
2014,March,6.7
2014,April,6.2
2014,May,6.3
2014,June,6.1
2014,July,6.2
2014,August,6.1
2014,September,5.9
2014,October,5.7
2014,November,5.8
2014,December,5.6
2015,January,5.7
2015,February,5.5
2015,March,5.4
2015,April,5.4
2015,May,5.6
2015,June,5.3
2015,July,5.2
2015,August,5.1
2015,September,5.0
2015,October,5.0
2015,November,5.1
2015,December,5.0
2016,January,4.9
2016,February,4.9
2016,March,5.0
2016,April,5.0
2016,May,4.8
2016,June,4.9
2016,July,4.8
2016,August,4.9
2016,September,5.0
2016,October,4.9
2016,November,4.7
2016,December,4.7
2017,January,4.7
2017,February,4.7
2017,March,4.4
2017,April,4.4
2017,May,4.4
2017,June,4.3
2017,July,4.3
2017,August,4.4
2017,September,4.2
2017,October,4.1
2017,November,4.2
2017,December,4.1
2018,January,4.1
2018,February,4.1
2018,March,4.0
2018,April,3.9
2018,May,3.8
2018,June,4.0
2018,July,3.9
2018,August,3.8
2018,September,3.7
2018,October,3.8
2018,November,3.7
2018,December,3.9
2019,January,4.0
2019,February,3.8
2019,March,3.8
2019,April,3.6
