period,CS_Index,West North Central,New England,East North Central,Middle Atlantic,Mountain,Pacific,South Atlantic,West South Central,USA,Housing Affordability Index,Market Absorption Rate (%),Unemployment Rate,Financial obligations ratio,Consumer debt service ratio,Debt service ratio,Mortgage debt service ratio
2000-January,100.589696698974,151.57,127.99,150.48,118.85,165.07,122.51,133.79,139.65,137.42,126.0,67.0,4.0,16.532775,5.937883,11.503203,5.56532
2000-February,101.692479314291,152.74,127.91,149.71,118.42,165.48,121.47,134.19,139.5,137.26,126.6,78.0,4.1,16.574865333333335,5.973132666666666,11.555449000000001,5.582316666666666
2000-March,102.783828812065,153.15,129.86,151.06,119.62,166.34,123.09,134.77,140.74,138.32,125.1,88.0,4.0,16.616955666666666,6.0083823333333335,11.607695,5.599313333333334
2000-April,103.996444254038,154.52,131.19,151.77,120.61,166.87,123.86,135.89,141.43,139.26,124.1,78.0,3.8,16.659046,6.043632,11.659941,5.6163099999999995
2000-May,105.25281840306299,154.98,132.91,152.17,121.02,167.46,125.02,136.52,141.9,139.89,121.0,77.0,4.0,16.708282999999998,6.088313333333333,11.718835666666667,5.6305233333333335
2000-June,106.402523807612,155.48,134.66,153.24,121.95,168.91,126.0,137.42,142.61,140.82,118.4,71.0,4.0,16.75752,6.132994666666668,11.777730333333333,5.644736666666668
2000-July,107.134019461609,156.37,135.47,153.96,122.69,169.37,127.05,138.13,143.24,141.58,117.0,76.0,4.0,16.806757,6.177676,11.836625,5.65895
2000-August,107.86143822743901,157.05,136.35,154.33,123.28,169.8,128.29,138.48,143.67,142.12,119.3,73.0,4.1,16.890216666666667,6.232203,11.912198333333333,5.679996
2000-September,108.610140186362,157.88,138.07,154.82,124.74,170.23,129.54,139.46,144.35,143.03,120.3,70.0,3.9,16.973676333333334,6.28673,11.987771666666667,5.701042
2000-October,109.486858891926,158.82,139.77,155.19,125.29,171.37,131.03,140.04,144.89,143.81,124.6,71.0,3.9,17.057136,6.341257,12.063345,5.722087999999999
2000-November,110.571707485592,158.93,140.24,155.76,126.47,172.68,132.62,140.67,145.78,144.68,125.0,63.0,3.9,17.086894666666666,6.376528666666666,12.095893333333333,5.719364666666666
2000-December,111.80087186938101,159.7,142.22,156.71,127.37,173.26,133.76,142.04,145.67,145.52,126.4,65.0,3.9,17.116653333333335,6.411800333333334,12.128441666666667,5.7166413333333335
2001-January,113.05349773422199,161.27,143.73,157.28,127.95,175.12,135.05,142.88,146.41,146.49,134.7,72.0,4.2,17.146411999999998,6.447072,12.16099,5.713918
2001-February,114.126857881259,161.69,145.62,157.98,129.27,176.18,136.58,143.25,147.73,147.47,135.2,85.0,4.2,17.237455999999998,6.496076,12.235284333333333,5.739208333333332
2001-March,115.085195751287,162.48,146.78,158.5,130.11,176.53,137.76,144.85,147.66,148.28,131.6,94.0,4.3,17.3285,6.5450800000000005,12.309578666666667,5.764498666666666
2001-April,115.840550928508,164.26,147.96,159.25,130.77,176.85,138.7,145.56,148.59,149.11,132.3,84.0,4.4,17.419544000000002,6.594084,12.383873,5.789789
2001-May,116.30074285312901,164.58,150.08,159.8,131.8,178.26,139.55,146.05,148.5,149.81,128.6,80.0,4.3,17.379143,6.582852000000001,12.363738,5.780886
2001-June,116.899749967955,165.25,151.0,160.32,133.11,178.88,140.18,146.82,149.16,150.5,122.9,79.0,4.5,17.338742,6.5716199999999985,12.343603,5.7719830000000005
2001-July,117.49660114785499,166.29,152.58,160.82,134.03,178.99,141.16,148.11,150.02,151.38,123.4,76.0,4.6,17.298341,6.5603880000000006,12.323468,5.76308
2001-August,118.24522909662201,166.55,154.75,161.34,135.53,179.75,142.14,148.89,149.62,152.1,124.7,74.0,4.9,17.432742,6.611002666666668,12.423264999999999,5.812262333333334
2001-September,119.027952923142,167.59,155.31,162.05,136.44,179.56,143.55,149.27,150.73,152.88,129.7,66.0,5.0,17.567142999999998,6.661617333333332,12.523062,5.861444666666666
2001-October,119.694048519856,168.7,156.49,163.08,137.3,180.54,144.25,150.54,151.12,153.82,134.8,66.0,5.3,17.701544000000002,6.712232000000001,12.622859,5.910627
2001-November,120.274743532503,168.55,157.45,163.19,138.77,181.83,144.96,150.93,151.06,154.29,134.9,67.0,5.5,17.603465999999994,6.680439999999999,12.554139666666664,5.873699666666668
2001-December,120.672264238783,170.04,159.71,163.8,139.18,182.41,146.66,152.22,151.72,155.29,127.3,66.0,5.7,17.505388,6.6486480000000014,12.485420333333336,5.836772333333332
2002-January,121.360320819152,170.54,161.21,164.64,140.54,183.14,148.15,153.13,151.66,156.19,129.1,66.0,5.7,17.40731,6.616855999999999,12.416701,5.7998449999999995
2002-February,122.19082092305,170.84,163.26,165.06,141.67,184.31,149.41,154.55,152.54,157.1,130.1,84.0,5.7,17.363493666666667,6.599975333333334,12.389924333333333,5.7899486666666675
2002-March,123.321470124759,171.99,163.42,165.83,143.25,184.66,151.11,155.0,153.47,158.11,128.3,90.0,5.7,17.31967733333333,6.583094666666668,12.363147666666665,5.780052333333334
2002-April,124.507760706156,172.76,166.37,166.14,144.62,185.47,152.58,156.08,153.51,158.97,126.2,86.0,5.9,17.275861,6.5662139999999996,12.336371,5.770156
2002-May,125.92446594751101,173.44,167.85,166.7,146.33,186.0,154.81,157.15,154.11,160.05,125.4,88.0,5.8,17.285561333333334,6.563893333333334,12.349998666666664,5.786105
2002-June,127.38847361594999,174.48,170.29,167.53,147.21,186.34,156.78,158.06,154.46,161.03,120.4,84.0,5.8,17.295261666666665,6.561572666666668,12.363626333333334,5.802054
2002-July,128.879586646824,174.93,173.09,167.95,148.83,187.33,158.92,159.05,154.72,162.07,123.4,82.0,5.8,17.304962,6.559252000000001,12.377253999999999,5.818003
2002-August,130.307277309221,175.97,174.02,168.51,150.44,189.0,160.66,159.8,154.96,163.09,127.9,90.0,5.7,17.278429666666668,6.5403400000000005,12.367144666666665,5.826805
2002-September,131.526921334076,176.76,175.59,169.32,151.65,189.07,162.0,161.6,155.72,164.12,130.4,82.0,5.7,17.251897333333332,6.521428,12.357035333333334,5.835607
2002-October,132.84663367872102,177.51,177.43,169.69,153.18,190.83,164.35,162.47,156.24,165.26,131.9,77.0,5.7,17.225365,6.502516,12.346926,5.844409
2002-November,134.096970036912,178.3,179.39,170.99,154.03,191.36,165.5,163.49,156.67,166.2,131.4,73.0,5.9,17.20951,6.493547333333333,12.346575333333336,5.8530273333333325
2002-December,135.405266340119,179.91,180.47,171.21,156.41,192.94,167.19,164.9,157.41,167.42,129.6,70.0,6.0,17.193655,6.484578666666668,12.346224666666664,5.861645666666666
2003-January,136.466802057397,180.82,182.34,172.42,157.29,193.54,169.54,165.42,158.02,168.44,135.8,76.0,5.8,17.1778,6.47561,12.345874,5.870264
2003-February,137.452827180569,181.25,183.1,172.66,159.25,194.27,171.26,166.97,158.28,169.52,137.1,82.0,5.9,17.137393333333335,6.463511333333333,12.326080666666664,5.862569333333332
2003-March,138.378810168233,182.14,184.05,173.03,159.78,195.17,172.52,167.64,158.23,170.07,136.6,98.0,5.9,17.096986666666666,6.451412666666667,12.306287333333335,5.854874666666666
2003-April,139.250037320152,182.3,186.44,173.69,161.27,196.25,174.73,168.68,158.5,171.13,136.1,91.0,6.0,17.05658,6.4393139999999995,12.286494,5.847180000000001
2003-May,140.14698719367598,182.89,186.95,174.44,162.78,196.85,176.14,169.85,159.09,172.06,135.0,101.0,6.1,16.978105,6.4116170000000015,12.237153,5.8255360000000005
2003-June,140.919713035376,183.81,188.58,174.81,163.5,197.74,177.29,171.15,159.12,172.86,132.0,107.0,6.3,16.899630000000002,6.38392,12.187812,5.803891999999999
2003-July,142.11887769485202,184.79,189.3,175.62,164.93,199.5,179.84,172.74,159.76,174.16,131.7,99.0,6.2,16.821154999999997,6.356223,12.138471000000001,5.782248
2003-August,143.551841523116,185.9,191.73,176.42,167.08,200.24,182.72,173.27,160.47,175.42,128.5,105.0,6.1,16.847793333333335,6.3611916666666675,12.163870666666664,5.802679
2003-September,145.26127944447398,186.97,194.73,177.0,168.97,202.44,185.16,174.63,161.33,176.86,127.0,90.0,6.1,16.874431666666666,6.366160333333332,12.189270333333333,5.82311
2003-October,146.990469091218,187.44,196.13,177.87,169.68,203.32,188.69,175.96,160.97,177.92,129.2,88.0,6.0,16.90107,6.371129,12.21467,5.843541
2003-November,148.822939630222,189.01,198.56,178.59,171.19,204.45,191.51,177.64,161.59,179.27,130.4,76.0,5.8,16.894782,6.368589666666668,12.213158333333332,5.8445686666666665
2003-December,150.758996442435,189.06,200.83,179.63,173.54,206.76,194.51,178.86,162.57,180.8,127.4,75.0,5.7,16.888494,6.366050333333333,12.211646666666667,5.845596333333334
2004-January,152.62510699025896,190.71,201.61,179.27,174.31,209.37,197.8,180.89,162.49,182.02,134.3,89.0,5.7,16.882206,6.363511,12.210135000000001,5.846623999999999
2004-February,154.53652047276302,191.31,202.92,180.81,177.02,210.0,199.36,181.88,163.37,183.35,132.3,102.0,5.6,16.847496333333332,6.3402606666666665,12.184099333333332,5.843839
2004-March,156.918184819939,192.02,203.78,181.17,177.15,211.65,203.49,183.8,164.55,184.64,135.0,123.0,5.8,16.812786666666668,6.317010333333332,12.158063666666667,5.8410540000000015
2004-April,159.35958453318898,192.19,206.42,181.72,179.98,215.21,206.18,185.6,164.92,186.19,133.7,109.0,5.6,16.778077,6.29376,12.132028,5.838269
2004-May,161.751120911238,194.01,208.37,182.45,181.81,216.33,211.25,187.92,165.15,187.99,124.2,115.0,5.6,16.817817333333334,6.300864333333332,12.169613,5.868749666666668
2004-June,164.305450969794,194.54,211.01,183.22,183.78,219.97,216.05,189.65,166.05,189.9,116.1,105.0,5.6,16.857557666666665,6.3079686666666674,12.207198,5.899230333333334
2004-July,166.387185555542,195.15,213.08,183.96,185.2,222.25,219.99,192.12,166.07,191.49,118.0,96.0,5.5,16.897298000000003,6.315073,12.244783,5.929711
2004-August,168.071587413446,196.23,214.6,184.56,186.34,223.68,222.84,194.21,166.76,192.83,121.7,102.0,5.4,16.880463,6.28929,12.242261333333332,5.952972333333332
2004-September,169.65433092437002,196.84,216.91,184.78,187.65,227.68,226.16,196.17,167.68,194.34,123.8,94.0,5.4,16.863628000000002,6.263507,12.239739666666667,5.976233666666666
2004-October,171.297042910077,197.83,218.15,185.72,190.65,228.33,229.1,198.19,167.78,195.79,124.8,101.0,5.5,16.846792999999998,6.237724,12.237217999999999,5.999495
2004-November,173.086939287604,199.31,218.37,186.56,192.35,231.47,233.55,199.94,169.3,197.56,123.5,84.0,5.4,16.983867,6.2640476666666665,12.344422666666668,6.080375666666666
2004-December,175.086155868844,199.35,220.89,186.97,194.36,233.74,237.85,202.43,169.43,199.29,122.0,83.0,5.4,17.120941000000002,6.290371333333334,12.451627333333334,6.161256333333332
2005-January,177.54612406266997,200.03,222.53,187.82,195.72,236.59,239.97,205.06,170.38,200.77,125.8,92.0,5.3,17.258015,6.316694999999999,12.558832,6.2421370000000005
2005-February,180.249458173457,200.99,225.29,187.18,196.04,241.24,243.69,206.9,171.2,202.17,126.5,109.0,5.4,17.256586666666667,6.300041,12.559231,6.259189666666666
2005-March,183.18786409654098,201.75,225.54,188.75,198.2,243.79,248.62,210.11,171.9,204.3,122.2,127.0,5.2,17.255158333333334,6.283387,12.55963,6.276242333333332
2005-April,185.514582356726,203.51,227.12,189.49,200.18,248.22,252.27,211.96,172.58,206.03,114.4,116.0,5.2,17.253729999999997,6.266733,12.560029,6.293295
2005-May,187.54965754535198,203.82,229.58,189.53,200.56,252.2,256.77,214.87,173.55,207.69,114.4,120.0,5.1,17.274707666666668,6.2444413333333335,12.580347666666665,6.335905666666666
2005-June,189.53032062497,204.56,228.97,190.02,203.2,255.08,259.89,218.41,174.66,209.51,109.8,115.0,5.0,17.29568533333333,6.222149666666668,12.600666333333333,6.378516333333334
2005-July,191.37931770061797,205.19,230.67,190.55,206.89,258.39,263.94,220.78,175.87,211.53,110.5,117.0,5.0,17.316663000000002,6.199858,12.620985000000001,6.421126999999999
2005-August,193.367562500858,205.86,231.22,190.72,207.78,262.68,268.42,223.59,176.07,213.11,108.3,110.0,4.9,17.299082666666667,6.167726666666668,12.611121666666666,6.443395333333332
2005-September,195.620163009478,206.65,233.34,192.16,209.89,266.88,272.7,225.54,177.52,215.14,110.3,99.0,5.0,17.281502333333332,6.135595333333333,12.601258333333336,6.465663666666668
2005-October,197.88303170587105,207.72,232.94,192.5,210.34,269.72,273.7,227.27,179.35,216.29,107.4,105.0,5.0,17.263922,6.103464,12.591395,6.487932
